iter	Passed	Remaining
0	199	199644
1	225	112556
2	243	81034
3	265	65997
4	287	57180
5	308	51100
6	340	48274
7	365	45370
8	390	42974
9	421	41712
10	451	40623
11	484	39866
12	504	38298
13	526	37096
14	558	36642
15	583	35886
16	604	34945
17	630	34392
18	649	33534
19	669	32783
20	686	31992
21	701	31201
22	716	30455
23	735	29912
24	754	29412
25	778	29167
26	804	29009
27	819	28462
28	844	28272
29	865	27987
30	895	27979
31	911	27571
32	929	27226
33	945	26871
34	962	26535
35	978	26209
36	997	25954
37	1015	25716
38	1039	25605
39	1066	25603
40	1093	25574
41	1111	25355
42	1131	25180
43	1155	25095
44	1176	24962
45	1196	24807
46	1212	24577
47	1224	24286
48	1237	24016
49	1248	23714
50	1261	23471
51	1274	23234
52	1287	23005
53	1300	22784
54	1311	22532
55	1325	22348
56	1339	22165
57	1354	21998
58	1401	22348
59	1435	22481
60	1463	22528
61	1485	22476
62	1505	22394
63	1520	22237
64	1536	22095
65	1549	21934
66	1564	21783
67	1577	21615
68	1593	21494
69	1606	21345
70	1619	21187
71	1632	21044
72	1644	20883
73	1655	20718
74	1669	20590
75	1682	20459
76	1698	20353
77	1710	20221
78	1722	20086
79	1736	19970
80	1749	19845
81	1761	19716
82	1771	19571
83	1784	19463
84	1798	19359
85	1811	19252
86	1822	19127
87	1836	19030
88	1849	18931
89	1863	18839
90	1876	18747
91	1891	18669
92	1908	18609
93	1919	18498
94	1932	18412
95	1946	18324
96	1958	18232
97	1970	18136
98	1985	18074
99	1999	17997
100	2013	17924
101	2027	17853
102	2041	17775
103	2051	17673
104	2066	17611
105	2080	17546
106	2097	17507
107	2111	17438
108	2125	17371
109	2138	17303
110	2149	17213
111	2163	17152
112	2178	17096
113	2198	17090
114	2217	17064
115	2236	17046
116	2251	16991
117	2265	16930
118	2280	16885
119	2295	16834
120	2309	16780
121	2325	16738
122	2340	16689
123	2354	16633
124	2368	16576
125	2381	16518
126	2395	16468
127	2409	16417
128	2423	16364
129	2438	16317
130	2454	16282
131	2471	16253
132	2485	16202
133	2498	16145
134	2516	16122
135	2530	16072
136	2541	16010
137	2553	15953
138	2567	15903
139	2580	15854
140	2591	15785
141	2604	15736
142	2616	15683
143	2629	15632
144	2640	15569
145	2654	15527
146	2667	15480
147	2680	15430
148	2691	15369
149	2706	15336
150	2720	15295
151	2735	15260
152	2749	15220
153	2765	15192
154	2779	15151
155	2795	15121
156	2811	15097
157	2825	15059
158	2837	15008
159	2851	14971
160	2866	14935
161	2879	14896
162	2892	14855
163	2908	14825
164	2920	14779
165	2934	14743
166	2948	14708
167	2962	14673
168	2977	14642
169	2991	14605
170	3002	14557
